datetime,city,o3,no2,pm25
2023-01-01 01:00:00,Birmingham A4540 Roadside,61.33451,14.17608,7.123
2023-01-01 02:00:00,Birmingham A4540 Roadside,65.79158,10.04362,4.057
2023-01-01 03:00:00,Birmingham A4540 Roadside,66.40692,11.48356,4.363
2023-01-01 04:00:00,Birmingham A4540 Roadside,67.25509,8.76057,4.127
2023-01-01 05:00:00,Birmingham A4540 Roadside,68.25294,8.22369,5.024
2023-01-01 06:00:00,Birmingham A4540 Roadside,66.5566,6.56865,5.778
2023-01-01 07:00:00,Birmingham A4540 Roadside,69.69982,6.83647,5.542
2023-01-01 08:00:00,Birmingham A4540 Roadside,67.45466,8.22437,5.283
2023-01-01 09:00:00,Birmingham A4540 Roadside,63.96219,11.74592,5.896
2023-01-01 10:00:00,Birmingham A4540 Roadside,67.90369,7.52999,5.59
2023-01-01 11:00:00,Birmingham A4540 Roadside,68.5523,7.79669,6.792
2023-01-01 12:00:00,Birmingham A4540 Roadside,68.00348,7.63796,7.618
2023-01-01 13:00:00,Birmingham A4540 Roadside,63.01423,11.5929,8.632
2023-01-01 14:00:00,Birmingham A4540 Roadside,60.61939,14.58203,9.033
2023-01-01 15:00:00,Birmingham A4540 Roadside,55.28089,21.63451,9.646
2023-01-01 16:00:00,Birmingham A4540 Roadside,49.2439,27.77505,10.118
2023-01-01 17:00:00,Birmingham A4540 Roadside,41.51056,34.07631,10.425
2023-01-01 18:00:00,Birmingham A4540 Roadside,40.81206,32.68847,10.354
2023-01-01 19:00:00,Birmingham A4540 Roadside,47.74712,31.56344,6.887
2023-01-01 20:00:00,Birmingham A4540 Roadside,39.46497,41.2892,5.873
2023-01-01 21:00:00,Birmingham A4540 Roadside,33.12862,44.33319,5.377
2023-01-01 22:00:00,Birmingham A4540 Roadside,36.32174,43.58029,5.071
2023-01-01 23:00:00,Birmingham A4540 Roadside,44.00519,31.08438,4.552
2023-01-02 00:00:00,Birmingham A4540 Roadside,47.54755,26.70363,4.693
2023-01-02 01:00:00,Birmingham A4540 Roadside,48.09637,18.30483,4.811
2023-01-02 02:00:00,Birmingham A4540 Roadside,50.42469,13.53044,4.623
2023-01-02 03:00:00,Birmingham A4540 Roadside,50.14196,10.68122,4.67
2023-01-02 04:00:00,Birmingham A4540 Roadside,47.8968,11.05481,4.693
2023-01-02 05:00:00,Birmingham A4540 Roadside,35.07443,24.4664,4.458
2023-01-02 06:00:00,Birmingham A4540 Roadside,43.05723,23.98042,3.09
2023-01-02 07:00:00,Birmingham A4540 Roadside,44.15486,21.94545,2.759
2023-01-02 08:00:00,Birmingham A4540 Roadside,37.51916,25.58013,2.759
2023-01-02 09:00:00,Birmingham A4540 Roadside,18.36044,43.45429,3.585
2023-01-02 10:00:00,Birmingham A4540 Roadside,24.24776,38.79104,4.104
2023-01-02 11:00:00,Birmingham A4540 Roadside,31.9312,32.1081,4.198
2023-01-02 12:00:00,Birmingham A4540 Roadside,35.77292,35.73972,3.986
2023-01-02 13:00:00,Birmingham A4540 Roadside,35.62324,32.43474,3.797
2023-01-02 14:00:00,Birmingham A4540 Roadside,33.2783,42.81079,4.08
2023-01-02 15:00:00,Birmingham A4540 Roadside,32.5798,41.95037,4.599
2023-01-02 16:00:00,Birmingham A4540 Roadside,38.96604,31.09669,3.302
2023-01-02 17:00:00,Birmingham A4540 Roadside,14.71829,69.50428,7.406
2023-01-02 18:00:00,Birmingham A4540 Roadside,2.14538,,12.217
2023-01-02 19:00:00,Birmingham A4540 Roadside,3.09334,86.29757,14.175
2023-01-02 20:00:00,Birmingham A4540 Roadside,4.54022,75.4608,12.665
2023-01-02 21:00:00,Birmingham A4540 Roadside,2.29506,78.04457,13.797
2023-01-02 22:00:00,Birmingham A4540 Roadside,1.79613,78.95892,
2023-01-02 23:00:00,Birmingham A4540 Roadside,1.79613,77.57743,
2023-01-03 00:00:00,Birmingham A4540 Roadside,1.74624,59.38735,20.142
2023-01-03 01:00:00,Birmingham A4540 Roadside,1.39699,55.99925,14.906
2023-01-03 02:00:00,Birmingham A4540 Roadside,7.51714,40.17412,11.415
2023-01-03 03:00:00,Birmingham A4540 Roadside,12.17377,34.02651,9.552
2023-01-03 04:00:00,Birmingham A4540 Roadside,29.9355,20.34801,7.288
2023-01-03 05:00:00,Birmingham A4540 Roadside,31.03314,21.36904,7.193
2023-01-03 06:00:00,Birmingham A4540 Roadside,31.98109,28.21821,7.052
2023-01-03 07:00:00,Birmingham A4540 Roadside,28.43873,35.64679,6.792
2023-01-03 08:00:00,Birmingham A4540 Roadside,32.48002,38.90126,5.802
2023-01-03 09:00:00,Birmingham A4540 Roadside,28.98754,41.79142,4.434
2023-01-03 10:00:00,Birmingham A4540 Roadside,35.42368,40.29071,2.453
2023-01-03 11:00:00,Birmingham A4540 Roadside,34.27615,42.27679,2.264
2023-01-03 12:00:00,Birmingham A4540 Roadside,40.96174,38.90131,3.986
2023-01-03 13:00:00,Birmingham A4540 Roadside,45.55185,33.61274,2.995
2023-01-03 14:00:00,Birmingham A4540 Roadside,43.05723,33.35006,3.042
