The 'absorption cross section' of Ozone at the relevant wavelength has been updated
by the BIPM (the international bureau of weights and measures) and reflected within
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%
and will dramatically improve measurement uncertainty - this change has been applied
to all data from 1 January 2025.
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:

Hourly measurement data supplied by UK-air on 25/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Birmingham A4540 Roadside",,,,,,"Edinburgh St Leonards",,,,,,"Leeds Centre",,,,,,"London Marylebone Road",,,,,,"Manchester Piccadilly",,,,,
Latitude,,52.476145,,,,,,55.945589,,,,,,53.803780,,,,,,51.522530,,,,,,53.481520,,,,,,
Longitude,,-1.874978,,,,,,-3.182186,,,,,,-1.546472,,,,,,-0.154611,,,,,,-2.237881,,,,,,
Site Type,,Urban Traffic,,,,,,Urban Background,,,,,,Urban Background,,,,,,Urban Traffic,,,,,,Urban Background,,,,,,
Zone,,West Midlands,,,,,,Central Scotland,,,,,,Yorkshire & Humberside,,,,,,Greater London,,,,,,North West & Merseyside,,,,,,
Agglomeration,,West Midlands Urban Area,,,,,,Edinburgh Urban Area,,,,,,West Yorkshire Urban Area,,,,,,Greater London Urban Area,,,,,,Greater Manchester Urban Area,,,,,,
Local Authority,,"Birmingham",,,,,,"Edinburgh",,,,,,"Leeds",,,,,,"Westminster",,,,,,"Manchester",,,,,,
Date,Time,"Ozone",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Ozone",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Ozone",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Ozone",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Ozone",Status,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status
2023-01-01,01:00:00,61.33451,V ugm-3,14.17608,V ugm-3,7.123,V ugm-3 (Ref.eq),79.76148,V ugm-3,2.08761,V ugm-3,2.901,V ugm-3 (Ref.eq),51.61448,V ugm-3,27.91846,V ugm-3,9.363,V ugm-3 (Ref.eq),48.89465,V ugm-3,22.5675,V ugm-3,9,V ugm-3 (BAM),52.42039,V ugm-3,19.12272,V ugm-3,23.986,V ugm-3 (Ref.eq)
2023-01-01,02:00:00,65.79158,V ugm-3,10.04362,V ugm-3,4.057,V ugm-3 (Ref.eq),77.63273,V ugm-3,2.91471,V ugm-3,2.759,V ugm-3 (Ref.eq),76.61852,V ugm-3,7.69173,V ugm-3,2.948,V ugm-3 (Ref.eq),46.49981,V ugm-3,27.54,V ugm-3,11,V ugm-3 (BAM),55.8796,V ugm-3,17.11373,V ugm-3,3.208,V ugm-3 (Ref.eq)
2023-01-01,03:00:00,66.40692,V ugm-3,11.48356,V ugm-3,4.363,V ugm-3 (Ref.eq),78.38112,V ugm-3,2.56702,V ugm-3,2.759,V ugm-3 (Ref.eq),79.67418,V ugm-3,4.70218,V ugm-3,2.335,V ugm-3 (Ref.eq),47.69723,V ugm-3,23.52375,V ugm-3,9,V ugm-3 (BAM),54.23315,V ugm-3,19.07966,V ugm-3,4.599,V ugm-3 (Ref.eq)
2023-01-01,04:00:00,67.25509,V ugm-3,8.76057,V ugm-3,4.127,V ugm-3 (Ref.eq),77.8323,V ugm-3,2.30605,V ugm-3,2.547,V ugm-3 (Ref.eq),81.50758,V ugm-3,3.34406,V ugm-3,1.627,V ugm-3 (Ref.eq),51.68863,V ugm-3,21.61125,V ugm-3,10,V ugm-3 (BAM),55.97939,V ugm-3,15.55266,V ugm-3,2.807,V ugm-3 (Ref.eq)
2023-01-01,05:00:00,68.25294,V ugm-3,8.22369,V ugm-3,5.024,V ugm-3 (Ref.eq),75.23789,V ugm-3,3.4831,V ugm-3,1.627,V ugm-3 (Ref.eq),81.45519,V ugm-3,2.47207,V ugm-3,1.226,V ugm-3 (Ref.eq),53.48476,V ugm-3,21.22875,V ugm-3,11,V ugm-3 (BAM),58.12476,V ugm-3,13.99137,V ugm-3,1.958,V ugm-3 (Ref.eq)
2023-01-01,06:00:00,66.5566,V ugm-3,6.56865,V ugm-3,5.778,V ugm-3 (Ref.eq),73.39187,V ugm-3,7.18489,V ugm-3,1.25,V ugm-3 (Ref.eq),84.28386,V ugm-3,2.03622,V ugm-3,1.156,V ugm-3 (Ref.eq),54.68218,V ugm-3,19.89,V ugm-3,13,V ugm-3 (BAM),49.79272,V ugm-3,21.33391,V ugm-3,1.675,V ugm-3 (Ref.eq)
2023-01-01,07:00:00,69.69982,V ugm-3,6.83647,V ugm-3,5.542,V ugm-3 (Ref.eq),66.20735,V ugm-3,11.5414,V ugm-3,1.038,V ugm-3 (Ref.eq),82.71238,V ugm-3,3.34509,V ugm-3,1.274,V ugm-3 (Ref.eq),56.67788,V ugm-3,15.6825,V ugm-3,11,V ugm-3 (BAM),54.88175,V ugm-3,13.47106,V ugm-3,2.311,V ugm-3 (Ref.eq)
2023-01-01,08:00:00,67.45466,V ugm-3,8.22437,V ugm-3,5.283,V ugm-3 (Ref.eq),60.5196,V ugm-3,13.45779,V ugm-3,0.873,V ugm-3 (Ref.eq),83.60289,V ugm-3,3.05448,V ugm-3,1.557,V ugm-3 (Ref.eq),52.88605,V ugm-3,18.55125,V ugm-3,13,V ugm-3 (BAM),59.97079,V ugm-3,9.53959,V ugm-3,2.453,V ugm-3 (Ref.eq)
2023-01-01,09:00:00,63.96219,V ugm-3,11.74592,V ugm-3,5.896,V ugm-3 (Ref.eq),47.99659,V ugm-3,19.42557,V ugm-3,3.609,V ugm-3 (Ref.eq),83.8648,V ugm-3,4.80052,V ugm-3,0.991,V ugm-3 (Ref.eq),52.28734,V ugm-3,19.69875,V ugm-3,12,V ugm-3 (BAM),52.23745,V ugm-3,12.25713,V ugm-3,3.184,V ugm-3 (Ref.eq)
2023-01-01,10:00:00,67.90369,V ugm-3,7.52999,V ugm-3,5.59,V ugm-3 (Ref.eq),36.72088,V ugm-3,23.73503,V ugm-3,5.637,V ugm-3 (Ref.eq),80.72183,V ugm-3,5.81804,V ugm-3,1.439,V ugm-3 (Ref.eq),50.09207,V ugm-3,25.81875,V ugm-3,16,V ugm-3 (BAM),53.38498,V ugm-3,12.60383,V ugm-3,2.972,V ugm-3 (Ref.eq)
2023-01-01,11:00:00,68.5523,V ugm-3,7.79669,V ugm-3,6.792,V ugm-3 (Ref.eq),27.54066,V ugm-3,31.26541,V ugm-3,5.708,V ugm-3 (Ref.eq),78.25985,V ugm-3,7.51514,V ugm-3,1.392,V ugm-3 (Ref.eq),46.49981,V ugm-3,28.305,V ugm-3,8,V ugm-3 (BAM),49.59315,V ugm-3,20.00475,V ugm-3,3.609,V ugm-3 (Ref.eq)
2023-01-01,12:00:00,68.00348,V ugm-3,7.63796,V ugm-3,7.618,V ugm-3 (Ref.eq),23.74883,V ugm-3,31.95232,V ugm-3,4.953,V ugm-3 (Ref.eq),75.0645,V ugm-3,9.06567,V ugm-3,2.642,V ugm-3 (Ref.eq),48.09637,V ugm-3,23.14125,V ugm-3,8,V ugm-3 (BAM),55.92949,V ugm-3,15.78439,V ugm-3,4.08,V ugm-3 (Ref.eq)
2023-01-01,13:00:00,63.01423,V ugm-3,11.5929,V ugm-3,8.632,V ugm-3 (Ref.eq),36.17206,V ugm-3,18.89615,V ugm-3,3.632,V ugm-3 (Ref.eq),69.35478,V ugm-3,15.27002,V ugm-3,3.231,V ugm-3 (Ref.eq),42.10927,V ugm-3,27.54,V ugm-3,11,V ugm-3 (BAM),49.8925,V ugm-3,19.13774,V ugm-3,5.708,V ugm-3 (Ref.eq)
2023-01-01,14:00:00,60.61939,V ugm-3,14.58203,V ugm-3,9.033,V ugm-3 (Ref.eq),48.79487,V ugm-3,12.79959,V ugm-3,2.052,V ugm-3 (Ref.eq),63.69744,V ugm-3,18.52001,V ugm-3,4.623,V ugm-3 (Ref.eq),38.31744,V ugm-3,31.93875,V ugm-3,9,V ugm-3 (BAM),53.03573,V ugm-3,14.39668,V ugm-3,6.392,V ugm-3 (Ref.eq)
2023-01-01,15:00:00,55.28089,V ugm-3,21.63451,V ugm-3,9.646,V ugm-3 (Ref.eq),53.03573,V ugm-3,10.40492,V ugm-3,2.123,V ugm-3 (Ref.eq),72.65489,V ugm-3,11.44234,V ugm-3,5.118,V ugm-3 (Ref.eq),32.72948,V ugm-3,39.015,V ugm-3,18,V ugm-3 (BAM),46.69938,V ugm-3,19.77315,V ugm-3,8.326,V ugm-3 (Ref.eq)
2023-01-01,16:00:00,49.2439,V ugm-3,27.77505,V ugm-3,10.118,V ugm-3 (Ref.eq),53.13551,V ugm-3,12.97583,V ugm-3,1.958,V ugm-3 (Ref.eq),73.2311,V ugm-3,9.50447,V ugm-3,6.132,V ugm-3 (Ref.eq),29.73593,V ugm-3,43.03125,V ugm-3,14,V ugm-3 (BAM),45.40218,V ugm-3,22.20127,V ugm-3,7.759,V ugm-3 (Ref.eq)
2023-01-01,17:00:00,41.51056,V ugm-3,34.07631,V ugm-3,10.425,V ugm-3 (Ref.eq),49.09422,V ugm-3,15.89512,V ugm-3,2.241,V ugm-3 (Ref.eq),66.73564,V ugm-3,13.48166,V ugm-3,6.863,V ugm-3 (Ref.eq),24.74668,V ugm-3,45.9,V ugm-3,19,V ugm-3 (BAM),43.00734,V ugm-3,23.64676,V ugm-3,7.642,V ugm-3 (Ref.eq)
